,AC,Reserved,General,Female,Male
0,S02A35P34_parsed.csv,5,60,36,29
1,S02A29P14_parsed.csv,101,558,317,322
2,S02A34P8_parsed.csv,58,164,96,121
3,S02A30P14_parsed.csv,108,641,400,341
4,S02A59P10_parsed.csv,287,749,1034,0
5,S02A20P22_parsed.csv,66,360,217,208
6,S02A28P16_parsed.csv,2,106,50,57
7,S02A54P14_parsed.csv,21,57,47,29
8,S02A24P13_parsed.csv,15,262,143,129
9,S02A17P5_parsed.csv,215,661,455,411
10,S02A59P8_parsed.csv,349,600,452,482
11,S02A4P22_parsed.csv,66,264,165,163
12,S02A26P41_parsed.csv,23,189,116,96
13,S02A50P1_parsed.csv,133,419,250,282
14,S02A49P3_parsed.csv,114,494,298,310
15,S02A37P9_parsed.csv,94,304,220,177
16,S02A29P39_parsed.csv,60,461,273,242
17,S02A53P37_parsed.csv,44,166,96,114
18,S02A38P21_parsed.csv,168,675,441,388
19,S02A34P31_parsed.csv,32,109,69,72
20,S02A35P22_parsed.csv,76,396,226,244
21,S02A6P14_parsed.csv,227,554,416,365
22,S02A50P6_parsed.csv,102,136,103,130
23,S02A32P15_parsed.csv,51,166,114,103
24,S02A42P11_parsed.csv,21,104,57,66
25,S02A50P16_parsed.csv,160,627,361,381
26,S02A12P22_parsed.csv,72,358,231,199
27,S02A9P21_parsed.csv,2,227,119,110
28,S02A16P7_parsed.csv,20,338,179,177
29,S02A29P54_parsed.csv,61,396,226,220
30,S02A38P20_parsed.csv,109,100,118,87
31,S02A55P28_parsed.csv,56,193,108,141
32,S02A10P8_parsed.csv,46,196,129,113
33,S02A48P22_parsed.csv,126,260,165,219
34,S02A6P32_parsed.csv,15,66,44,37
35,S02A13P20_parsed.csv,81,508,231,355
36,S02A17P6_parsed.csv,33,754,407,368
37,S02A23P38_parsed.csv,44,341,222,161
38,S02A28P14_parsed.csv,13,223,119,117
39,S02A5P11_parsed.csv,61,166,118,109
40,S02A29P36_parsed.csv,93,318,0,410
41,S02A4P9_parsed.csv,54,256,150,148
42,S02A7P9_parsed.csv,65,251,157,158
43,S02A47P14_parsed.csv,92,364,214,241
44,S02A58P14_parsed.csv,54,368,198,214
45,S02A39P14_parsed.csv,280,804,548,518
46,S02A37P8_parsed.csv,48,254,147,148
47,S02A33P26_parsed.csv,8,91,52,45
48,S02A29P51_parsed.csv,7,87,50,42
49,S02A35P7_parsed.csv,110,163,135,135
50,S02A59P14_parsed.csv,276,746,531,490
51,S02A8P21_parsed.csv,41,221,147,111
52,S02A32P38_parsed.csv,92,719,408,388
53,S02A2P23_parsed.csv,78,322,210,185
54,S02A5P19_parsed.csv,86,238,162,161
55,S02A55P2_parsed.csv,85,442,209,318
56,S02A48P2_parsed.csv,76,291,178,189
57,S02A55P4_parsed.csv,196,886,527,550
58,S02A42P18_parsed.csv,124,229,179,168
59,S02A15P10_parsed.csv,7,371,199,176
60,S02A47P11_parsed.csv,139,300,202,235
61,S02A47P2_parsed.csv,140,411,262,289
62,S02A43P34_parsed.csv,19,47,33,32
63,S02A54P23_parsed.csv,147,557,351,330
64,S02A9P31_parsed.csv,14,194,107,97
65,S02A13P38_parsed.csv,138,785,914,5
66,S02A28P4_parsed.csv,70,662,372,360
67,S02A26P29_parsed.csv,42,76,62,56
68,S02A19P3_parsed.csv,48,187,124,111
69,S02A29P44_parsed.csv,4,92,49,46
70,S02A30P13_parsed.csv,147,838,540,442
71,S02A44P15_parsed.csv,198,834,505,516
72,S02A2P14_parsed.csv,118,485,309,289
73,S02A44P28_parsed.csv,78,100,85,90
74,S02A55P22_parsed.csv,101,262,172,190
75,S02A34P9_parsed.csv,45,138,92,88
76,S02A14P24_parsed.csv,57,448,271,233
77,S02A45P24_parsed.csv,15,17,21,11
78,S02A51P41_parsed.csv,26,82,59,49
79,S02A9P25_parsed.csv,23,198,118,100
80,S02A20P9_parsed.csv,36,455,292,197
81,S02A39P3_parsed.csv,319,656,493,466
82,S02A53P9_parsed.csv,12,83,46,46
83,S02A5P1_parsed.csv,121,515,282,348
84,S02A33P35_parsed.csv,23,85,53,55
85,S02A18P38_parsed.csv,46,373,223,196
86,S02A13P25_parsed.csv,279,982,588,660
87,S02A23P42_parsed.csv,15,111,76,50
88,S02A1P21_parsed.csv,55,179,111,122
89,S02A26P25_parsed.csv,8,107,59,56
90,S02A13P26_parsed.csv,240,880,536,577
91,S02A38P7_parsed.csv,243,853,580,503
92,S02A6P36_parsed.csv,106,557,353,307
93,S02A28P26_parsed.csv,60,413,244,229
94,S02A25P22_parsed.csv,7,300,163,144
95,S02A9P19_parsed.csv,67,325,215,177
96,S02A46P30_parsed.csv,49,69,53,64
97,S02A58P17_parsed.csv,27,38,27,38
98,S02A30P12_parsed.csv,51,367,207,196
99,S02A45P58_parsed.csv,12,169,81,100
100,S02A5P27_parsed.csv,31,56,44,43
101,S02A54P10_parsed.csv,133,262,200,186
102,S02A25P19_parsed.csv,9,217,122,103
103,S02A56P4_parsed.csv,10,84,46,46
104,S02A8P15_parsed.csv,30,257,151,136
105,S02A9P4_parsed.csv,95,567,348,312
106,S02A47P3_parsed.csv,118,534,314,336
107,S02A22P40_parsed.csv,10,100,66,44
108,S02A43P1_parsed.csv,127,525,308,337
109,S02A46P1_parsed.csv,17,17,18,16
110,S02A43P11_parsed.csv,45,52,56,38
111,S02A24P12_parsed.csv,54,433,264,219
112,S02A55P11_parsed.csv,34,118,79,73
113,S02A53P33_parsed.csv,83,292,172,187
114,S02A23P18_parsed.csv,20,82,56,46
115,S02A18P8_parsed.csv,11,237,139,109
116,S02A2P21_parsed.csv,49,135,91,93
117,S02A11P3_parsed.csv,72,454,310,216
118,S02A45P40_parsed.csv,9,64,40,32
119,S02A31P20_parsed.csv,109,575,345,329
120,S02A26P7_parsed.csv,91,212,155,148
121,S02A46P18_parsed.csv,66,515,272,306
122,S02A8P8_parsed.csv,18,106,66,57
123,S02A13P30_parsed.csv,165,800,501,464
124,S02A7P21_parsed.csv,39,103,65,76
125,S02A13P31_parsed.csv,51,286,183,153
126,S02A34P13_parsed.csv,76,198,135,136
127,S02A41P5_parsed.csv,57,168,112,112
128,S02A13P32_parsed.csv,24,281,160,145
129,S02A38P11_parsed.csv,227,1025,554,688
130,S02A54P22_parsed.csv,181,511,337,352
131,S02A36P17_parsed.csv,40,518,295,262
132,S02A23P1_parsed.csv,3,80,46,37
133,S02A46P20_parsed.csv,181,797,461,512
134,S02A20P15_parsed.csv,99,454,307,246
135,S02A46P27_parsed.csv,23,75,52,46
136,S02A44P11_parsed.csv,121,633,354,394
137,S02A34P24_parsed.csv,13,86,41,56
138,S02A31P4_parsed.csv,252,590,459,373
139,S02A45P32_parsed.csv,140,200,165,175
140,S02A33P27_parsed.csv,74,243,168,149
141,S02A45P9_parsed.csv,47,153,111,89
142,S02A29P10_parsed.csv,7,98,52,53
143,S02A32P27_parsed.csv,77,665,381,357
144,S02A28P1_parsed.csv,16,180,95,101
145,S02A16P31_parsed.csv,15,222,123,113
146,S02A16P19_parsed.csv,9,62,40,31
147,S02A48P16_parsed.csv,118,532,318,331
148,S02A25P37_parsed.csv,40,337,202,174
149,S02A45P68_parsed.csv,51,72,56,67
150,S02A51P27_parsed.csv,53,123,77,96
151,S02A38P9_parsed.csv,124,640,352,407
152,S02A34P14_parsed.csv,19,114,64,66
153,S02A35P8_parsed.csv,24,191,105,105
154,S02A45P25_parsed.csv,50,45,47,48
155,S02A10P15_parsed.csv,114,526,336,304
156,S02A9P33_parsed.csv,22,281,149,154
157,S02A52P17_parsed.csv,3,76,34,42
158,S02A23P50_parsed.csv,10,122,82,48
159,S02A11P8_parsed.csv,5,89,49,45
160,S02A9P32_parsed.csv,41,314,200,154
161,S02A4P7_parsed.csv,37,119,86,69
162,S02A57P15_parsed.csv,67,194,137,124
163,S02A41P8_parsed.csv,16,89,42,63
164,S02A58P6_parsed.csv,15,144,78,81
165,S02A6P22_parsed.csv,29,105,67,66
166,S02A8P40_parsed.csv,47,155,95,106
167,S02A35P31_parsed.csv,23,297,152,165
168,S02A24P32_parsed.csv,5,157,82,79
169,S02A34P16_parsed.csv,56,219,136,138
170,S02A11P13_parsed.csv,58,142,101,99
171,S02A13P8_parsed.csv,83,540,617,3
172,S02A24P33_parsed.csv,12,137,78,70
173,S02A45P27_parsed.csv,44,52,49,46
174,S02A37P10_parsed.csv,132,515,345,295
175,S02A20P8_parsed.csv,116,276,196,194
176,S02A38P30_parsed.csv,82,622,390,304
177,S02A50P23_parsed.csv,99,320,216,200
178,S02A20P14_parsed.csv,41,567,327,279
179,S02A9P23_parsed.csv,103,287,216,174
180,S02A54P13_parsed.csv,56,198,121,133
181,S02A48P24_parsed.csv,120,304,208,216
182,S02A60P18_parsed.csv,22,172,97,97
183,S02A20P27_parsed.csv,25,309,185,149
184,S02A52P16_parsed.csv,11,85,47,48
185,S02A14P18_parsed.csv,108,505,343,268
186,S02A50P18_parsed.csv,108,376,241,239
