,AC,Women Entropy,Reserved Entropy
0,S02A7P,3.5553480614894135,3.5432958329105237
1,S02A11,3.367295829986473,3.3566887125612297
2,S02A39,2.9444389791664403,2.933745298743231
3,S02A48,3.3322045101752034,3.3135348488615697
4,S02A30,3.1780538303479453,3.16212407158518
5,S02A45,4.382026634673881,4.32998381105339
6,S02A10,3.526360524616162,3.523323446919781
7,S02A44,3.5553480614894135,3.5419946524510357
8,S02A53,3.737669618283368,3.7263319237999686
9,S02A31,3.295836866004329,3.2876254811014314
10,S02A34,3.713572066704308,3.710617112375362
11,S02A20,3.3322045101752034,3.322130736907362
12,S02A9P,3.6375861597263857,3.622116405139851
13,S02A14,3.737669618283368,3.7360467787655653
14,S02A6P,3.784189633918262,3.776568921735669
15,S02A5P,3.5835189384561104,3.5734603611199307
16,S02A51,3.6635616461296445,3.6325442397882197
17,S02A4P,3.713572066704308,3.7109673006698918
18,S02A37,3.2580965380214826,3.251996765246143
19,S02A52,3.610917912644225,3.6021138935743933
20,S02A57,2.890371757896165,2.878781958784975
21,S02A15,3.5835189384561104,3.581679979986073
22,S02A46,3.4965075614664802,3.482626058987694
23,S02A59,2.639057329615258,2.70489447771176
24,S02A47,3.4965075614664802,3.4907736918744066
25,S02A35,3.8066624897703196,3.801621535983357
26,S02A3P,2.995732273553991,2.9947016366158423
27,S02A58,3.3322045101752034,3.320303805407308
28,S02A18,3.713572066704308,3.7073761059505435
29,S02A50,3.4965075614664802,3.4847544546502798
30,S02A25,3.9120230054281455,3.8971788233580082
31,S02A23,3.9318256327243253,3.9183112631284733
32,S02A16,3.784189633918262,3.778812032370487
33,S02A56,3.1354942159291497,3.1247092208595335
34,S02A41,3.737669618283368,3.732044679374379
35,S02A36,3.367295829986473,3.365217581069079
36,S02A21,3.5835189384561104,3.568269576567877
37,S02A60,3.2188758248682,3.208172703997333
38,S02A32,3.6635616461296445,3.661852883062336
39,S02A22,3.784189633918262,3.7793999466687773
40,S02A13,4.276666119016054,4.275758320278458
41,S02A19,3.610917912644225,3.5973673085505844
42,S02A17,3.367295829986473,3.3609946497671586
43,S02A12,3.2188758248682,3.2146427559305546
44,S02A54,3.367295829986473,3.3484584537122903
45,S02A38,3.4965075614664802,3.489980102233654
46,S02A29,4.007333185232471,4.010549471956487
47,S02A28,3.6375861597263857,3.6346773928964367
48,S02A55,3.401197381662155,3.389702801197283
49,S02A40,3.295836866004329,3.286334131988595
50,S02A33,3.5835189384561104,3.574662541053459
51,S02A49,3.6888794541139363,3.6733477538212806
52,S02A2P,3.1780538303479453,3.1772264230509304
53,S02A26,4.007333185232471,3.99131095768089
54,S02A1P,3.4965075614664802,3.4952254376581893
55,S02A24,4.02535169073515,4.019896626460379
56,S02A8P,3.6888794541139363,3.6661904126442804
57,S02A42,3.401197381662155,3.3983749693903094
58,S02A27,3.951243718581428,3.924443488408602
59,S02A43,3.737669618283368,3.7329146032264426
