,AC,Reserved,General,Female,Male
0,eng_012_parsed.csv,120,276,190,204
1,eng_027_parsed.csv,160,964,589,524
2,eng_067_parsed.csv,218,722,444,492
3,eng_033_parsed.csv,121,935,606,443
4,eng_022_parsed.csv,152,589,357,380
5,eng_117_parsed.csv,25,412,238,194
6,eng_005_parsed.csv,134,495,272,353
7,eng_142_parsed.csv,49,570,357,261
8,eng_062_parsed.csv,174,677,353,491
9,eng_016_parsed.csv,175,705,423,456
10,eng_145_parsed.csv,66,461,279,243
11,eng_105_parsed.csv,99,738,425,405
12,eng_074_parsed.csv,39,419,229,221
13,eng_082_parsed.csv,93,714,447,354
14,eng_120_parsed.csv,35,411,250,185
15,eng_143_parsed.csv,46,434,255,220
16,eng_003_parsed.csv,184,857,522,514
17,eng_010_parsed.csv,145,623,403,363
18,eng_103_parsed.csv,49,465,263,242
19,eng_068_parsed.csv,227,583,409,395
20,eng_056_parsed.csv,193,825,339,670
21,eng_093_parsed.csv,124,553,345,331
22,eng_035_parsed.csv,128,669,409,380
23,eng_119_parsed.csv,39,330,206,152
24,eng_046_parsed.csv,106,636,353,382
25,eng_104_parsed.csv,61,565,314,297
26,eng_021_parsed.csv,122,433,285,266
27,eng_092_parsed.csv,175,818,514,472
28,eng_070_parsed.csv,128,488,286,327
29,eng_095_parsed.csv,199,727,506,415
30,eng_019_parsed.csv,104,530,319,308
31,eng_122_parsed.csv,35,441,289,177
32,eng_042_parsed.csv,119,728,422,415
33,eng_096_parsed.csv,150,584,392,336
34,eng_114_parsed.csv,70,364,232,193
35,eng_132_parsed.csv,49,402,245,204
36,eng_128_parsed.csv,85,758,468,366
37,eng_053_parsed.csv,169,940,516,588
38,eng_131_parsed.csv,76,628,391,304
39,eng_123_parsed.csv,53,450,311,179
40,eng_041_parsed.csv,126,643,402,362
41,eng_077_parsed.csv,86,513,306,284
42,eng_137_parsed.csv,54,632,372,307
43,eng_151_parsed.csv,62,352,224,186
44,eng_097_parsed.csv,97,360,262,193
45,eng_037_parsed.csv,113,620,359,365
46,eng_045_parsed.csv,206,1066,603,654
47,eng_101_parsed.csv,81,525,309,284
48,eng_055_parsed.csv,158,642,198,599
49,eng_058_parsed.csv,203,560,129,625
50,eng_034_parsed.csv,46,388,228,201
51,eng_112_parsed.csv,50,554,297,299
52,eng_059_parsed.csv,213,552,122,642
53,eng_057_parsed.csv,240,758,158,840
54,eng_113_parsed.csv,49,473,271,236
55,eng_061_parsed.csv,106,424,236,290
56,eng_044_parsed.csv,202,1048,590,646
57,eng_002_parsed.csv,184,735,451,461
58,eng_152_parsed.csv,62,698,393,364
59,eng_051_parsed.csv,115,625,351,384
60,eng_028_parsed.csv,123,1055,554,613
61,eng_080_parsed.csv,121,826,485,451
62,eng_064_parsed.csv,99,452,152,395
63,eng_001_parsed.csv,174,736,482,424
64,eng_088_parsed.csv,223,868,580,506
65,eng_150_parsed.csv,64,624,349,335
66,eng_050_parsed.csv,150,926,522,541
67,eng_085_parsed.csv,194,928,591,525
68,eng_052_parsed.csv,113,898,472,529
69,eng_134_parsed.csv,81,702,424,349
70,eng_127_parsed.csv,44,481,296,222
71,eng_091_parsed.csv,253,551,421,379
72,eng_047_parsed.csv,175,802,465,497
73,eng_126_parsed.csv,80,670,412,331
74,eng_140_parsed.csv,33,273,157,146
75,eng_090_parsed.csv,140,743,471,407
