,AC,Women Entropy,Reserved Entropy
0,eng_083_parsed.csv,0.0,0.0
1,eng_124_parsed.csv,0.0,0.0
2,eng_007_parsed.csv,0.0,0.0
3,eng_038_parsed.csv,0.0,0.0
4,eng_103_parsed.csv,0.0,0.0
5,eng_019_parsed.csv,0.0,0.0
6,eng_151_parsed.csv,0.0,0.0
7,eng_017_parsed.csv,0.0,0.0
8,eng_012_parsed.csv,0.0,0.0
9,eng_140_parsed.csv,0.0,0.0
10,eng_066_parsed.csv,0.0,0.0
11,eng_054_parsed.csv,0.0,0.0
12,eng_094_parsed.csv,0.0,0.0
13,eng_089_parsed.csv,0.0,0.0
14,eng_006_parsed.csv,0.0,0.0
15,eng_133_parsed.csv,0.0,0.0
16,eng_130_parsed.csv,0.0,0.0
17,eng_008_parsed.csv,0.0,0.0
18,eng_123_parsed.csv,0.0,0.0
19,eng_107_parsed.csv,0.0,0.0
20,eng_093_parsed.csv,0.0,0.0
21,eng_117_parsed.csv,0.0,0.0
22,eng_056_parsed.csv,0.0,0.0
23,eng_078_parsed.csv,0.0,0.0
24,eng_113_parsed.csv,0.0,0.0
25,eng_011_parsed.csv,0.0,0.0
26,eng_141_parsed.csv,0.0,0.0
27,eng_084_parsed.csv,0.0,0.0
28,eng_139_parsed.csv,0.0,0.0
29,eng_082_parsed.csv,0.0,0.0
30,eng_060_parsed.csv,0.0,0.0
31,eng_035_parsed.csv,0.0,0.0
32,eng_046_parsed.csv,0.0,0.0
33,eng_048_parsed.csv,0.0,0.0
34,eng_086_parsed.csv,0.0,0.0
35,eng_037_parsed.csv,0.0,0.0
36,eng_062_parsed.csv,0.0,0.0
37,eng_044_parsed.csv,0.0,0.0
38,eng_144_parsed.csv,0.0,0.0
39,eng_023_parsed.csv,0.0,0.0
40,eng_134_parsed.csv,0.0,0.0
41,eng_061_parsed.csv,0.0,0.0
42,eng_024_parsed.csv,0.0,0.0
43,eng_075_parsed.csv,0.0,0.0
44,eng_051_parsed.csv,0.0,0.0
45,eng_142_parsed.csv,0.0,0.0
46,eng_145_parsed.csv,0.0,0.0
47,eng_070_parsed.csv,0.0,0.0
48,eng_119_parsed.csv,0.0,0.0
49,eng_079_parsed.csv,0.0,0.0
50,eng_149_parsed.csv,0.0,0.0
51,eng_016_parsed.csv,0.0,0.0
52,eng_098_parsed.csv,0.0,0.0
53,eng_143_parsed.csv,0.0,0.0
54,eng_014_parsed.csv,0.0,0.0
55,eng_077_parsed.csv,0.0,0.0
56,eng_064_parsed.csv,0.0,0.0
57,eng_049_parsed.csv,0.0,0.0
58,eng_043_parsed.csv,0.0,0.0
59,eng_047_parsed.csv,0.0,0.0
60,eng_111_parsed.csv,0.0,0.0
61,eng_096_parsed.csv,0.0,0.0
62,eng_004_parsed.csv,0.0,0.0
63,eng_041_parsed.csv,0.0,0.0
64,eng_030_parsed.csv,0.0,0.0
65,eng_091_parsed.csv,0.0,0.0
66,eng_071_parsed.csv,0.0,0.0
67,eng_076_parsed.csv,0.0,0.0
68,eng_105_parsed.csv,0.0,0.0
69,eng_045_parsed.csv,0.0,0.0
70,eng_099_parsed.csv,0.0,0.0
71,eng_090_parsed.csv,0.0,0.0
72,eng_022_parsed.csv,0.0,0.0
73,eng_108_parsed.csv,0.0,0.0
74,eng_025_parsed.csv,0.0,0.0
75,eng_029_parsed.csv,0.0,0.0
76,eng_065_parsed.csv,0.0,0.0
77,eng_150_parsed.csv,0.0,0.0
78,eng_039_parsed.csv,0.0,0.0
79,eng_040_parsed.csv,0.0,0.0
80,eng_068_parsed.csv,0.0,0.0
81,eng_010_parsed.csv,0.0,0.0
82,eng_132_parsed.csv,0.0,0.0
83,eng_034_parsed.csv,0.0,0.0
84,eng_058_parsed.csv,0.0,0.0
85,eng_015_parsed.csv,0.0,0.0
86,eng_129_parsed.csv,0.0,0.0
87,eng_147_parsed.csv,0.0,0.0
88,eng_018_parsed.csv,0.0,0.0
89,eng_131_parsed.csv,0.0,0.0
90,eng_013_parsed.csv,0.0,0.0
91,eng_002_parsed.csv,0.0,0.0
92,eng_055_parsed.csv,0.0,0.0
93,eng_115_parsed.csv,0.0,0.0
94,eng_128_parsed.csv,0.0,0.0
95,eng_059_parsed.csv,0.0,0.0
96,eng_073_parsed.csv,0.0,0.0
97,eng_110_parsed.csv,0.0,0.0
98,eng_009_parsed.csv,0.0,0.0
99,eng_036_parsed.csv,0.0,0.0
100,eng_104_parsed.csv,0.0,0.0
101,eng_021_parsed.csv,0.0,0.0
102,eng_074_parsed.csv,0.0,0.0
103,eng_095_parsed.csv,0.0,0.0
104,eng_072_parsed.csv,0.0,0.0
105,eng_116_parsed.csv,0.0,0.0
106,eng_042_parsed.csv,0.0,0.0
107,eng_127_parsed.csv,0.0,0.0
108,eng_146_parsed.csv,0.0,0.0
109,eng_067_parsed.csv,0.0,0.0
110,eng_033_parsed.csv,0.0,0.0
111,eng_063_parsed.csv,0.0,0.0
112,eng_080_parsed.csv,0.0,0.0
113,eng_031_parsed.csv,0.0,0.0
114,eng_137_parsed.csv,0.0,0.0
115,eng_087_parsed.csv,0.0,0.0
116,eng_057_parsed.csv,0.0,0.0
117,eng_100_parsed.csv,0.0,0.0
118,eng_135_parsed.csv,0.0,0.0
119,eng_026_parsed.csv,0.0,0.0
120,eng_148_parsed.csv,0.0,0.0
121,eng_152_parsed.csv,0.0,0.0
122,eng_050_parsed.csv,0.0,0.0
123,eng_088_parsed.csv,0.0,0.0
124,eng_032_parsed.csv,0.0,0.0
125,eng_069_parsed.csv,0.0,0.0
126,eng_120_parsed.csv,0.0,0.0
127,eng_092_parsed.csv,0.0,0.0
128,eng_020_parsed.csv,0.0,0.0
129,eng_101_parsed.csv,0.0,0.0
130,eng_001_parsed.csv,0.0,0.0
131,eng_085_parsed.csv,0.0,0.0
132,eng_005_parsed.csv,0.0,0.0
133,eng_102_parsed.csv,0.0,0.0
134,eng_122_parsed.csv,0.0,0.0
135,eng_138_parsed.csv,0.0,0.0
136,eng_081_parsed.csv,0.0,0.0
137,eng_112_parsed.csv,0.0,0.0
138,eng_028_parsed.csv,0.0,0.0
139,eng_097_parsed.csv,0.0,0.0
140,eng_126_parsed.csv,0.0,0.0
141,eng_027_parsed.csv,0.0,0.0
142,eng_118_parsed.csv,0.0,0.0
143,eng_052_parsed.csv,0.0,0.0
144,eng_125_parsed.csv,0.0,0.0
145,eng_121_parsed.csv,0.0,0.0
146,eng_109_parsed.csv,0.0,0.0
147,eng_136_parsed.csv,0.0,0.0
148,eng_053_parsed.csv,0.0,0.0
149,eng_114_parsed.csv,0.0,0.0
150,eng_003_parsed.csv,0.0,0.0
151,eng_106_parsed.csv,0.0,0.0
