,AC,Reserved,General,Female,Male
0,AC35_U05A35P114_parsed.csv,200,1169,654,709
1,AC65_U05A65P18_parsed.csv,113,795,375,524
2,AC17_U05A17P74_parsed.csv,65,848,460,446
3,AC23_U05A23P157_parsed.csv,73,711,394,389
4,AC65_U05A65P38_parsed.csv,125,1165,587,700
5,AC42_U05A42P6_parsed.csv,120,923,499,542
6,AC69_U05A69P219_parsed.csv,95,811,410,480
7,AC34_U05A34P86_parsed.csv,82,849,452,476
8,AC49_U05A49P97_parsed.csv,139,929,458,606
9,AC49_U05A49P27_parsed.csv,203,1182,550,831
10,AC55_U05A55P131_parsed.csv,128,703,356,468
11,AC11_U05A11P46_parsed.csv,140,837,472,498
12,AC67_U05A67P12_parsed.csv,96,728,357,461
13,AC69_U05A69P82_parsed.csv,139,832,427,541
14,AC45_U05A45P76_parsed.csv,177,1135,428,875
15,AC49_U05A49P133_parsed.csv,131,850,418,558
16,AC38_U05A38P4_parsed.csv,144,815,352,606
17,AC70_U05A70P176_parsed.csv,113,682,375,418
18,AC25_U05A25P54_parsed.csv,76,886,474,486
19,AC30_U05A30P124_parsed.csv,113,743,411,444
20,AC8_U05A8P124_parsed.csv,150,830,470,503
21,AC57_U05A57P133_parsed.csv,168,1060,567,648
22,AC41_U05A41P43_parsed.csv,185,1068,437,815
23,AC13_U05A13P56_parsed.csv,43,594,325,304
24,AC44_U05A44P30_parsed.csv,115,757,411,457
25,AC58_U05A58P12_parsed.csv,118,1278,609,783
26,AC31_U05A31P336_parsed.csv,122,857,464,514
27,AC34_U05A34P285_parsed.csv,146,992,520,609
28,AC31_U05A31P219_parsed.csv,180,984,517,638
29,AC47_U05A47P22_parsed.csv,103,660,350,388
30,AC31_U05A31P257_parsed.csv,111,602,300,368
31,AC6_U05A6P98_parsed.csv,98,1092,587,593
32,AC52_U05A52P121_parsed.csv,153,980,514,609
33,AC37_U05A37P108_parsed.csv,95,804,436,457
34,AC17_U05A17P68_parsed.csv,60,791,430,418
35,AC25_U05A25P149_parsed.csv,164,727,323,566
36,AC55_U05A55P109_parsed.csv,76,747,399,421
37,AC10_U05A10P91_parsed.csv,194,1008,559,637
38,AC70_U05A70P163_parsed.csv,74,597,318,352
39,AC40_U05A40P23_parsed.csv,157,849,430,575
40,AC63_U05A63P101_parsed.csv,216,994,531,673
41,AC29_U05A29P62_parsed.csv,81,954,531,495
42,AC21_U05A21P33_parsed.csv,86,687,378,392
43,AC47_U05A47P50_parsed.csv,80,548,272,353
44,AC19_U05A19P91_parsed.csv,175,884,441,610
45,AC58_U05A58P31_parsed.csv,46,657,327,371
46,AC13_U05A13P27_parsed.csv,128,1095,561,645
47,AC56_U05A56P42_parsed.csv,243,1166,676,721
48,AC69_U05A69P191_parsed.csv,114,966,453,624
49,AC29_U05A29P51_parsed.csv,83,595,308,368
50,AC69_U05A69P244_parsed.csv,199,1003,545,656
51,AC34_U05A34P264_parsed.csv,147,996,524,617
52,AC30_U05A30P83_parsed.csv,73,644,366,348
53,AC12_U05A12P148_parsed.csv,167,814,459,510
54,AC34_U05A34P323_parsed.csv,124,1111,598,635
55,AC50_U05A50P24_parsed.csv,107,1090,582,606
56,AC55_U05A55P23_parsed.csv,174,1160,617,716
57,AC57_U05A57P8_parsed.csv,72,992,535,527
58,AC22_U05A22P38_parsed.csv,174,811,289,693
59,AC5_U05A5P80_parsed.csv,101,892,458,529
60,AC4_U05A4P60_parsed.csv,108,779,375,511
61,AC36_U05A36P25_parsed.csv,202,924,526,590
62,AC22_U05A22P107_parsed.csv,77,733,342,463
63,AC65_U05A65P15_parsed.csv,162,1068,448,779
64,AC49_U05A49P113_parsed.csv,164,1232,594,799
65,AC54_U05A54P136_parsed.csv,120,1277,573,820
66,AC12_U05A12P105_parsed.csv,188,845,451,558
67,AC40_U05A40P5_parsed.csv,155,946,544,549
68,AC5_U05A5P53_parsed.csv,195,1074,498,769
69,AC40_U05A40P91_parsed.csv,130,689,301,319
70,AC1_U05A1P132_parsed.csv,144,773,426,488
71,AC42_U05A42P89_parsed.csv,73,902,494,477
72,AC21_U05A21P28_parsed.csv,118,677,358,437
73,AC8_U05A8P191_parsed.csv,78,702,406,369
