,AC,Women Entropy,Reserved Entropy
0,AC22,5.0238805208462765,5.023428855268092
1,AC49,5.017279836814925,5.017004874882733
2,AC39,5.17614973257383,5.174688154357323
3,AC54,5.541263545158424,5.540296021370024
4,AC24,5.241747015059643,5.240852567280262
5,AC46,5.170483995038151,5.170177249419086
6,AC4_,5.087596335232383,5.086991477984931
7,AC43,4.976733742420574,4.975807591594521
8,AC7_,5.8406416573734,5.840216058059729
9,AC60,5.313205979041789,5.312790832216861
10,AC31,5.929589143389892,5.929033850188197
11,AC15,4.962844630259906,4.9620742199764845
12,AC3_,5.214935757608986,5.214092694324761
13,AC29,4.969813299576001,4.969121915816528
14,AC1_,5.686975356339819,5.68659732462246
15,AC37,5.476463551931511,5.475951854094623
16,AC67,5.318119993844215,5.317916830576183
17,AC40,5.111987788356544,5.111497145357994
18,AC2_,5.720311776607412,5.7199532360794665
19,AC8_,5.631211781821365,5.630606678707174
20,AC53,5.568344503761097,5.56815035030714
21,AC30,5.288267030694538,5.287138689274357
22,AC45,5.192956850890212,5.1919310200395135
23,AC51,5.081404364984463,5.0807718952885885
24,AC11,5.513428746164981,5.512591945395739
25,AC61,5.17614973257383,5.175870267061129
26,AC34,5.9269260259704115,5.925776085985962
27,AC58,5.187385805840755,5.186839386916024
28,AC64,5.220355825078324,5.219909531336654
29,AC50,5.093750200806762,5.093193188961585
30,AC26,5.093750200806762,5.092804336447266
31,AC20,4.890349128221754,4.889789837763866
32,AC13,5.14166355650266,5.140285876965114
33,AC68,5.38449506278909,5.384309762373525
34,AC16,5.0369526024136295,5.035569154486476
35,AC6_,5.537334267018537,5.536890441512384
36,AC41,4.859812404361671,4.858979669090786
37,AC42,4.997212273764116,4.996218459298828
38,AC52,4.488636369732139,4.487634313534903
39,AC47,5.347107530717467,5.3469076222595175
40,AC44,5.043425116919247,5.042984977707684
41,AC21,4.87519732320115,4.874753736183442
42,AC5_,5.379897353540459,5.379186312427033
43,AC27,5.111987788356544,5.110954680181063
44,AC18,5.099866427824199,5.098188192885848
45,AC38,4.74493212836325,4.744075102310535
46,AC17,5.204006687076794,5.202565324099823
47,AC14,5.099866427824199,5.0981554992037434
48,AC32,5.556828061699537,5.556526958673068
49,AC28,5.10594547390058,5.104734161153624
50,AC36,5.257495372027781,5.256577060080777
51,AC57,5.283203728737988,5.28272617545154
52,AC70,5.594711379601838,5.594343961597405
53,AC69,5.537334267018537,5.537121720891127
54,AC66,5.298317366548037,5.298025224546063
55,AC48,4.941642422609306,4.941383548852132
56,AC33,5.252273428046632,5.251926419522266
57,AC56,5.181783550292085,5.181246111076652
58,AC65,5.12396397940326,5.123677024623205
59,AC35,5.549076084895219,5.548404061905298
60,AC23,5.187385805840755,5.186898523816016
61,AC55,5.081404364984463,5.080959999321715
62,AC62,5.214935757608986,5.214191585048103
63,AC10,5.153291594497778,5.153016697848017
64,AC59,5.214935757608986,5.213917817024672
65,AC9_,5.61312810638807,5.612722220324091
66,AC63,5.181783550292085,5.181339982591414
67,AC12,5.192956850890212,5.192429670758564
68,AC19,5.15905529921453,5.158314563785192
69,AC25,5.1298987149230735,5.1281376550392155
