,AC,Reserved,General,Female,Male
0,18_S05A18P31_parsed.csv,6,499,257,248
1,28_S05A28P19_parsed.csv,115,711,450,369
2,5_S05A5P24_parsed.csv,61,607,329,334
3,15_S05A15P29_parsed.csv,91,550,314,322
4,5_S05A5P23_parsed.csv,80,779,425,418
5,13_S05A13P4_parsed.csv,72,857,463,459
6,10_S05A10P29_parsed.csv,76,628,370,330
7,7_S05A7P11_parsed.csv,93,592,355,317
8,4_S05A4P20_parsed.csv,61,496,294,260
9,18_S05A18P6_parsed.csv,116,642,374,378
10,12_S05A12P21_parsed.csv,56,536,294,293
11,34_S05A34P22_parsed.csv,37,683,373,337
12,34_S05A34P32_parsed.csv,47,387,213,210
13,1_S05A1P25_parsed.csv,54,651,351,345
14,22_S05A22P12_parsed.csv,58,772,411,414
15,37_S05A37P11_parsed.csv,50,378,218,202
16,10_S05A10P9_parsed.csv,69,645,376,332
17,28_S05A28P32_parsed.csv,60,502,289,267
18,15_S05A15P22_parsed.csv,133,929,531,518
19,21_S05A21P24_parsed.csv,73,737,400,406
20,10_S05A10P25_parsed.csv,86,417,255,246
21,9_S05A9P26_parsed.csv,74,702,393,375
22,25_S05A25P14_parsed.csv,110,794,428,455
23,38_S05A38P13_parsed.csv,13,769,401,369
24,18_S05A18P26_parsed.csv,70,558,318,303
25,33_S05A33P13_parsed.csv,76,530,323,274
26,5_S05A5P19_parsed.csv,87,699,443,331
27,30_S05A30P35_parsed.csv,76,705,399,369
28,21_S05A21P3_parsed.csv,19,423,221,220
29,28_S05A28P23_parsed.csv,108,722,463,363
30,33_S05A33P3_parsed.csv,54,494,289,255
31,23_S05A23P39_parsed.csv,91,598,345,336
32,39_S05A39P20_parsed.csv,12,433,241,196
33,24_S05A24P3_parsed.csv,56,365,189,230
34,40_S05A40P47_parsed.csv,6,609,306,305
35,37_S05A37P47_parsed.csv,71,547,319,295
36,10_S05A10P18_parsed.csv,113,606,381,337
37,35_S05A35P34_parsed.csv,53,721,368,402
38,32_S05A32P5_parsed.csv,117,595,347,356
39,6_S05A6P3_parsed.csv,38,491,260,265
40,27_S05A27P34_parsed.csv,95,599,365,329
41,9_S05A9P11_parsed.csv,100,858,469,482
42,26_S05A26P18_parsed.csv,127,909,510,517
43,19_S05A19P19_parsed.csv,38,617,324,323
44,36_S05A36P14_parsed.csv,66,777,416,417
45,12_S05A12P10_parsed.csv,63,457,293,227
46,32_S05A32P13_parsed.csv,80,577,335,313
47,5_S05A5P5_parsed.csv,82,685,387,372
48,21_S05A21P17_parsed.csv,51,542,288,302
49,2_S05A2P22_parsed.csv,60,708,392,354
50,7_S05A7P8_parsed.csv,53,429,253,227
51,37_S05A37P38_parsed.csv,72,724,402,386
52,8_S05A8P6_parsed.csv,81,666,376,363
53,19_S05A19P18_parsed.csv,61,422,241,235
54,25_S05A25P19_parsed.csv,102,841,464,454
55,38_S05A38P31_parsed.csv,54,642,350,337
56,39_S05A39P13_parsed.csv,49,505,280,255
57,21_S05A21P41_parsed.csv,67,513,278,295
58,30_S05A30P20_parsed.csv,59,574,324,304
59,16_S05A16P37_parsed.csv,32,365,201,193
60,26_S05A26P7_parsed.csv,96,787,437,439
61,15_S05A15P35_parsed.csv,83,550,336,288
62,1_S05A1P20_parsed.csv,101,677,388,375
63,29_S05A29P24_parsed.csv,68,559,332,293
