,AC,Women Entropy,Reserved Entropy
0,39,3.8066624897703196,3.8059638398284172
1,31,3.6375861597263857,3.637276751433437
2,30,3.713572066704308,3.7130341543927594
3,35,3.784189633918262,3.7836944215633586
4,4_,3.6635616461296445,3.6629851140914003
5,26,3.2580965380214826,3.2577137574933586
6,38,3.784189633918262,3.783535499970621
7,24,3.367295829986473,3.366656957806684
8,6_,3.784189633918262,3.7833904390388207
9,40,4.04305126783455,4.040909147202082
10,2_,3.8918202981106265,3.890546149746479
11,15,3.6635616461296445,3.6631881759051823
12,1_,3.8066624897703196,3.8056721028170593
13,32,3.6635616461296445,3.6632500224599043
14,37,3.850147601710058,3.849796278178648
15,19,3.091042453358315,3.090350867879155
16,7_,3.6635616461296445,3.663208837423741
17,29,3.6375861597263857,3.63732206063486
18,3_,3.7612001156935624,3.7609016099991748
19,17,3.9120230054281455,3.9109592008320555
20,22,3.8066624897703196,3.805456214628547
21,5_,3.737669618283368,3.7372950911024105
22,36,3.8712010109078907,3.8694626171139523
23,28,3.6635616461296445,3.663305027468689
24,9_,3.6635616461296445,3.663208471235479
25,12,3.737669618283368,3.737345883658485
26,13,3.6635616461296445,3.663196645193986
27,11,3.401197381662155,3.40089101379855
28,25,3.6375861597263857,3.636765425827353
29,14,3.610917912644225,3.610398934854662
30,16,3.784189633918262,3.7830649785463635
31,34,3.737669618283368,3.7370025074758573
32,21,3.7612001156935624,3.760825489598039
33,27,3.6888794541139363,3.6885906352052613
34,18,4.007333185232471,4.005947349889213
35,10,3.713572066704308,3.712984503034511
36,23,3.6888794541139363,3.6882534593152307
37,33,3.5835189384561104,3.583126535639173
38,8_,3.526360524616162,3.526125165124537
