,AC,Women Entropy,Reserved Entropy
0,A46,4.02535169073515,4.014521322872456
1,A1P,3.7612001156935624,3.7532605927630995
2,A36,3.5835189384561104,3.563742257259884
3,A38,3.5553480614894135,3.548854762938629
4,A8P,3.713572066704308,3.711681411455836
5,A59,4.304065093204169,4.297381104931141
6,A54,3.9120230054281455,3.9086239539438377
7,A34,3.6635616461296445,3.654584474574874
8,A16,3.713572066704308,3.7036250502424646
9,A14,3.6375861597263857,3.6360946578653923
10,A24,3.8066624897703196,3.798900006032575
11,A9P,3.850147601710058,3.8449447826580174
12,A39,3.5553480614894135,3.5490455382347617
13,A31,3.6888794541139363,3.6718886787024902
14,A19,3.8918202981106265,3.8888228575041723
15,A60,4.02535169073515,4.0228232412502045
16,A26,3.6888794541139363,3.6825449937572152
17,A11,3.5835189384561104,3.5800286115080144
18,A5P,3.8066624897703196,3.8029870924676286
19,A49,4.343805421853686,4.336081542433863
20,A50,3.6888794541139363,3.671970690995123
21,A53,4.1108738641733105,4.1048083954449615
22,A43,4.276666119016054,4.270229521787071
23,A52,4.499809670330265,4.485583929884721
24,A13,3.367295829986473,3.3637851912399066
25,A35,3.850147601710058,3.8323197520275296
26,A3P,3.7612001156935624,3.7531462518626864
27,A4P,3.850147601710058,3.8377522916168543
28,A57,4.077537443905719,4.074855551928438
29,A41,4.343805421853686,4.3361618082074385
30,A2P,3.850147601710058,3.844199660224981
31,A44,4.219507705176109,4.215401088299232
32,A22,3.6888794541139363,3.6820531726467953
33,A20,3.6888794541139363,3.6863006777903764
34,A33,3.6635616461296445,3.6573197936461987
35,A23,3.713572066704308,3.7068764228627282
36,A6P,3.6635616461296445,3.650662014490524
37,A32,3.6635616461296445,3.6560284551668962
38,A21,3.850147601710058,3.8470802935326582
39,A45,4.189654742026424,4.184242001520299
40,A48,4.262679877041316,4.261407269925625
41,A17,3.8918202981106265,3.8883206263962387
42,A37,3.526360524616162,3.495605527055256
43,A42,4.2484952420493585,4.2399042647741805
44,A40,3.6888794541139363,3.680067431771609
45,A28,3.295836866004329,3.29092807915363
46,A47,4.29045944114839,4.282435879460021
47,A55,3.6635616461296445,3.661335183250411
48,A25,3.6635616461296445,3.6562482085634143
49,A18,3.713572066704308,3.709499347623762
50,A56,3.6888794541139363,3.687294018918138
51,A12,3.6888794541139363,3.685527458606848
52,A15,3.9120230054281455,3.906039361403631
53,A30,3.6635616461296445,3.6581835183349454
54,A58,4.33073334028633,4.328898915452579
55,A10,3.6635616461296445,3.661303524501631
56,A51,4.219507705176109,4.204662840442241
57,A7P,3.784189633918262,3.775783088549649
58,A29,3.5553480614894135,3.5421914761926754
59,A27,3.7612001156935624,3.7456922736587805
