,AC,Reserved,General,Female,Male
0,A004_A0040020_parsed.csv,119,501,614,2
1,A016_A0160024_parsed.csv,122,513,0,629
2,A012_A0120020_parsed.csv,120,435,0,542
3,A006_A0060059_parsed.csv,51,390,225,213
4,A033_A0330045_parsed.csv,312,234,273,265
5,A026_A0260046_parsed.csv,118,349,213,249
6,A014_A0140042_parsed.csv,53,403,0,453
7,A036_A0360048_parsed.csv,66,292,183,168
8,A023_A0230030_parsed.csv,28,407,1,431
9,A053_A0530001_parsed.csv,352,513,442,418
10,A020_A0200026_parsed.csv,86,812,456,434
11,A006_A0060051_parsed.csv,120,439,0,555
12,A009_A0090015_parsed.csv,92,835,489,432
13,A035_A0350051_parsed.csv,6,191,86,106
14,A020_A0200021_parsed.csv,113,277,0,384
15,A059_A0590050_parsed.csv,19,402,202,216
16,A060_A0600012_parsed.csv,9,494,249,250
17,A049_A0490026_parsed.csv,8,507,247,262
18,A053_A0530018_parsed.csv,525,282,412,388
19,A015_A0150025_parsed.csv,61,410,230,237
20,A020_A0200031_parsed.csv,295,715,529,465
21,A032_A0320055_parsed.csv,24,133,71,84
22,A002_A0020037_parsed.csv,154,1117,0,1257
23,A017_A0170016_parsed.csv,91,669,0,753
24,A029_A0290010_parsed.csv,123,562,348,326
25,A003_A0030023_parsed.csv,158,703,852,0
26,A058_A0580051_parsed.csv,15,542,265,287
27,A040_A0400028_parsed.csv,25,851,408,467
28,A020_A0200038_parsed.csv,216,710,485,433
29,A011_A0110038_parsed.csv,116,333,226,218
30,A010_A0100008_parsed.csv,31,292,161,154
31,A054_A0540032_parsed.csv,38,809,433,414
32,A029_A0290046_parsed.csv,302,488,403,386
33,A033_A0330025_parsed.csv,6,692,355,341
34,A050_A0500013_parsed.csv,40,719,0,755
35,A045_A0450003_parsed.csv,159,576,371,357
36,A034_A0340013_parsed.csv,124,295,199,216
37,A050_A0500041_parsed.csv,25,687,343,362
38,A006_A0060052_parsed.csv,112,598,704,0
39,A026_A0260056_parsed.csv,34,181,84,120
40,A009_A0090002_parsed.csv,133,539,319,347
41,A018_A0180029_parsed.csv,53,816,862,0
42,A043_A0430036_parsed.csv,25,589,609,0
43,A018_A0180030_parsed.csv,117,904,0,1012
44,A015_A0150022_parsed.csv,77,382,453,1
45,A032_A0320012_parsed.csv,190,457,335,296
46,A034_A0340023_parsed.csv,206,475,341,335
47,A027_A0270002_parsed.csv,66,245,154,153
48,A049_A0490035_parsed.csv,10,559,276,290
49,A006_A0060019_parsed.csv,63,286,180,166
50,A006_A0060055_parsed.csv,79,624,0,697
