,AC,Women Entropy,Reserved Entropy
0,A012,3.828641396489094,3.9281122256942926
1,A023,3.713572066704308,4.0202759968642665
2,A053,3.713572066704308,3.7360815900930335
3,A032,4.1431347263915335,4.137013710227857
4,A021,3.6375861597263857,4.076381134477139
5,A014,3.3322045101752034,3.890017607778096
6,A054,3.6635616461296445,3.8651430677552114
7,A027,4.1108738641733105,4.199335262929885
8,A043,4.060443010546419,4.126956698237256
9,A024,3.5835189384561104,3.9091987419409744
10,A022,3.5553480614894135,4.003829050635901
11,A038,3.4657359027997265,3.583428916750235
12,A003,3.610917912644225,3.9066122143855413
13,A056,3.828641396489094,3.870144492096826
14,A009,4.060443010546419,4.107815459624244
15,A008,3.988984046564275,4.040591343308322
16,A033,4.077537443905719,4.073107609281625
17,A006,3.8918202981106265,4.138918815799606
18,A011,3.988984046564275,4.057361157410712
19,A051,3.295836866004329,3.6086341281775702
20,A019,3.401197381662155,3.8051972516536585
21,A007,4.0943445622220995,4.2264792333389165
22,A010,4.1588830833596715,4.257040750680586
23,A030,3.9702919135521206,4.106119339815382
24,A015,3.784189633918262,4.288773456629107
25,A055,3.8066624897703196,3.8120914650739532
26,A048,3.828641396489094,3.9072588408051954
27,A026,3.8712010109078907,4.055721160214428
28,A040,3.7612001156935624,3.7611507770687265
29,A041,4.060443010546419,4.110820303377827
30,A049,4.007333185232471,4.060357420497517
31,A037,3.8918202981106265,4.025243259918527
32,A020,3.5553480614894135,3.908403081375622
33,A029,3.9702919135521206,4.11535019776555
34,A001,3.8066624897703196,4.07591555747075
35,A052,3.6888794541139363,3.913444465626862
36,A045,3.5835189384561104,3.8373084556402985
37,A044,3.6635616461296445,3.802392493547093
38,A035,4.204692619390965,4.219977678799257
39,A046,3.401197381662155,3.703658835036535
40,A036,3.9120230054281455,4.036692121567447
41,A016,3.1780538303479453,3.6102431553115086
42,A013,3.6888794541139363,3.9850940394625396
43,A047,3.4657359027997265,3.6959909982260015
44,A050,3.610917912644225,3.783743992849463
45,A031,4.1431347263915335,4.196329401077778
46,A034,4.174387269895637,4.1619127110687035
47,A060,3.8066624897703196,3.8495438716195975
48,A017,3.295836866004329,3.686468437767065
49,A058,4.007333185232471,4.006842122324666
50,A042,3.713572066704308,3.9119098733620916
51,A025,3.9702919135521206,4.163814744686232
52,A059,3.9702919135521206,3.9700261446350997
53,A039,3.5553480614894135,3.5834797794048048
54,A028,3.6375861597263857,3.886499084317112
55,A018,3.2188758248682,3.687914063774228
56,A057,3.401197381662155,3.5250130032294713
57,A002,3.526360524616162,3.9687761439618776
58,A005,4.127134385045091,4.216363423006003
59,A004,3.610917912644225,3.8897075388799154
