,AC,Women Entropy,Reserved Entropy
0,A1P,3.6635616461296445,3.6608974128577154
1,A36,4.2484952420493585,4.2400391648687945
2,A38,3.737669618283368,3.736761063306672
3,A8P,3.401197381662155,3.400541760660774
4,A34,3.5553480614894135,3.553394212398151
5,A16,3.1780538303479453,3.177910827672075
6,A14,2.9444389791664403,2.9440400500046104
7,A31,3.091042453358315,3.0901993911819323
8,A9P,3.091042453358315,3.0908069624814756
9,A39,3.610917912644225,3.609747627160971
10,A19,3.367295829986473,3.366963909024704
11,A24,3.2188758248682,3.2186783744679786
12,A11,3.1780538303479453,3.177814458154513
13,A26,3.367295829986473,3.3671148680970315
14,A5P,3.367295829986473,3.366626827247504
15,A13,3.401197381662155,3.4008626804173336
16,A35,3.2580965380214826,3.255921852181646
17,A3P,3.737669618283368,3.7341230691918508
18,A4P,3.2580965380214826,3.257709866717125
19,A2P,3.5835189384561104,3.5821232591677923
20,A22,3.3322045101752034,3.33161814579018
21,A20,3.367295829986473,3.366877234513849
22,A33,3.610917912644225,3.6098615471748436
23,A23,3.401197381662155,3.4008723576567172
24,A6P,3.526360524616162,3.525159768099406
25,A32,3.044522437723422,3.043971297308018
26,A21,3.295836866004329,3.2941148654017045
27,A17,3.2188758248682,3.21858814361556
28,A37,4.234106504597258,4.230052048100874
29,A40,3.784189633918262,3.780871039200461
30,A28,3.2188758248682,3.218193449657889
31,A25,3.367295829986473,3.366939697322788
32,A18,3.044522437723422,3.044355459895578
33,A12,2.9444389791664403,2.9442819629700385
34,A15,3.401197381662155,3.400997891327738
35,A30,3.3322045101752034,3.3317873209109887
36,A10,3.2580965380214826,3.2577247817651984
37,A7P,3.367295829986473,3.3667906896964825
38,A29,3.2580965380214826,3.2567950329068993
39,A27,3.367295829986473,3.366436610366092
