,AC,Reserved,General,Female,Male
0,28_S17A28P4_parsed.csv,100,433,269,257
1,59_S17A59P7_parsed.csv,134,543,347,325
2,14_S17A14P1_parsed.csv,167,724,472,406
3,37_S17A37P6_parsed.csv,212,337,297,249
4,42_S17A42P7_parsed.csv,68,260,145,176
5,53_S17A53P14_parsed.csv,342,446,400,383
6,38_S17A38P24_parsed.csv,128,322,230,217
7,60_S17A60P62_parsed.csv,377,643,436,573
8,28_S17A28P25_parsed.csv,95,300,196,197
9,34_S17A34P21_parsed.csv,44,356,207,189
10,50_S17A50P30_parsed.csv,136,352,224,260
11,54_S17A54P28_parsed.csv,115,203,157,152
12,36_S17A36P11_parsed.csv,67,381,230,206
13,54_S17A54P10_parsed.csv,298,616,435,469
14,1_S17A1P28_parsed.csv,13,148,49,112
15,44_S17A44P5_parsed.csv,168,575,356,380
16,38_S17A38P33_parsed.csv,215,286,263,238
17,58_S17A58P31_parsed.csv,224,358,283,291
18,32_S17A32P15_parsed.csv,42,318,187,165
19,26_S17A26P3_parsed.csv,238,622,450,393
20,6_S17A6P26_parsed.csv,17,27,20,24
21,7_S17A7P40_parsed.csv,54,203,134,119
22,12_S17A12P28_parsed.csv,76,224,153,138
23,2_S17A2P62_parsed.csv,336,783,586,526
24,57_S17A57P5_parsed.csv,209,583,378,406
25,49_S17A49P42_parsed.csv,105,215,140,179
26,51_S17A51P4_parsed.csv,169,424,300,283
27,21_S17A21P17_parsed.csv,141,392,251,264
28,21_S17A21P2_parsed.csv,138,399,278,254
29,58_S17A58P1_parsed.csv,290,414,343,354
30,12_S17A12P17_parsed.csv,143,311,241,210
31,28_S17A28P24_parsed.csv,193,460,81,567
32,50_S17A50P38_parsed.csv,91,228,157,161
33,26_S17A26P6_parsed.csv,207,741,487,451
34,25_S17A25P7_parsed.csv,144,594,361,372
35,19_S17A19P1_parsed.csv,57,399,220,230
36,58_S17A58P3_parsed.csv,127,248,191,183
37,34_S17A34P6_parsed.csv,38,285,162,156
38,11_S17A11P1_parsed.csv,146,576,388,334
39,40_S17A40P33_parsed.csv,91,279,167,196
40,20_S17A20P28_parsed.csv,28,47,32,41
41,4_S17A4P78_parsed.csv,32,143,83,92
42,24_S17A24P15_parsed.csv,131,455,294,284
43,50_S17A50P8_parsed.csv,105,279,198,185
44,44_S17A44P12_parsed.csv,250,696,462,475
45,40_S17A40P32_parsed.csv,160,377,279,250
46,21_S17A21P11_parsed.csv,70,243,134,157
47,27_S17A27P2_parsed.csv,239,771,496,488
48,11_S17A11P20_parsed.csv,146,684,424,400
49,7_S17A7P45_parsed.csv,145,474,323,294
50,21_S17A21P30_parsed.csv,195,523,340,372
51,55_S17A55P22_parsed.csv,53,163,101,115
52,29_S17A29P6_parsed.csv,174,654,375,452
53,21_S17A21P5_parsed.csv,116,350,229,232
54,30_S17A30P24_parsed.csv,27,102,72,57
55,9_S17A9P40_parsed.csv,216,704,452,463
56,17_S17A17P28_parsed.csv,21,266,140,139
57,11_S17A11P12_parsed.csv,218,782,497,503
58,5_S17A5P34_parsed.csv,129,528,312,341
59,13_S17A13P2_parsed.csv,48,306,181,169
60,35_S17A35P10_parsed.csv,36,325,176,176
61,43_S17A43P10_parsed.csv,150,394,253,278
62,34_S17A34P24_parsed.csv,85,768,432,416
63,42_S17A42P28_parsed.csv,348,451,397,394
64,18_S17A18P32_parsed.csv,68,450,257,253
65,35_S17A35P37_parsed.csv,17,111,56,70
66,33_S17A33P30_parsed.csv,10,87,55,42
67,26_S17A26P8_parsed.csv,202,794,502,491
68,2_S17A2P1_parsed.csv,36,204,118,118
69,50_S17A50P42_parsed.csv,79,174,111,141
70,17_S17A17P8_parsed.csv,81,530,330,281
71,12_S17A12P36_parsed.csv,115,160,144,128
72,14_S17A14P4_parsed.csv,134,681,448,365
73,39_S17A39P10_parsed.csv,194,713,474,431
74,16_S17A16P6_parsed.csv,55,189,128,116
75,60_S17A60P3_parsed.csv,329,755,509,567
76,6_S17A6P47_parsed.csv,252,386,307,326
77,60_S17A60P24_parsed.csv,58,100,74,82
78,39_S17A39P1_parsed.csv,197,453,324,326
79,12_S17A12P27_parsed.csv,119,549,309,347
80,30_S17A30P8_parsed.csv,85,323,192,210
81,43_S17A43P7_parsed.csv,128,323,205,242
82,17_S17A17P21_parsed.csv,87,593,330,347
83,38_S17A38P2_parsed.csv,157,315,220,250
84,31_S17A31P16_parsed.csv,16,108,64,60
85,56_S17A56P6_parsed.csv,219,618,401,418
86,35_S17A35P19_parsed.csv,81,574,341,313
87,13_S17A13P14_parsed.csv,81,306,187,193
88,56_S17A56P24_parsed.csv,79,95,83,85
89,60_S17A60P35_parsed.csv,130,261,203,186
90,38_S17A38P40_parsed.csv,156,428,316,267
91,44_S17A44P13_parsed.csv,222,569,386,402
92,16_S17A16P11_parsed.csv,156,649,407,384
93,15_S17A15P8_parsed.csv,116,660,406,365
94,60_S17A60P28_parsed.csv,114,223,167,166
95,25_S17A25P19_parsed.csv,162,493,339,309
96,52_S17A52P1_parsed.csv,98,434,254,272
97,36_S17A36P38_parsed.csv,46,298,169,172
98,5_S17A5P38_parsed.csv,32,254,144,142
99,44_S17A44P18_parsed.csv,196,607,339,459
100,28_S17A28P18_parsed.csv,43,155,104,91
101,36_S17A36P1_parsed.csv,64,405,244,219
102,2_S17A2P37_parsed.csv,100,640,369,360
103,52_S17A52P20_parsed.csv,33,147,83,95
104,39_S17A39P26_parsed.csv,186,460,328,318
105,9_S17A9P36_parsed.csv,132,468,316,279
106,18_S17A18P13_parsed.csv,41,168,107,101
107,32_S17A32P11_parsed.csv,91,678,394,375
108,23_S17A23P9_parsed.csv,137,478,318,295
109,54_S17A54P5_parsed.csv,198,413,283,319
110,19_S17A19P34_parsed.csv,72,406,240,231
111,19_S17A19P19_parsed.csv,149,757,444,459
112,33_S17A33P2_parsed.csv,32,182,118,94
113,6_S17A6P41_parsed.csv,161,234,183,207
114,11_S17A11P9_parsed.csv,95,407,258,235
115,52_S17A52P24_parsed.csv,198,544,381,354
116,25_S17A25P1_parsed.csv,110,416,279,244
117,37_S17A37P26_parsed.csv,97,270,191,176
118,60_S17A60P5_parsed.csv,144,431,256,300
119,32_S17A32P21_parsed.csv,39,285,170,151
120,9_S17A9P13_parsed.csv,276,875,588,555
121,40_S17A40P74_parsed.csv,27,156,84,94
122,60_S17A60P56_parsed.csv,32,55,44,43
123,28_S17A28P11_parsed.csv,131,478,302,305
124,55_S17A55P28_parsed.csv,62,327,197,187
125,38_S17A38P37_parsed.csv,131,370,246,254
126,30_S17A30P22_parsed.csv,29,136,86,77
127,40_S17A40P26_parsed.csv,18,72,48,42
128,50_S17A50P12_parsed.csv,106,330,236,195
129,11_S17A11P16_parsed.csv,172,683,430,425
130,28_S17A28P30_parsed.csv,33,76,28,81
131,38_S17A38P50_parsed.csv,169,357,288,237
132,33_S17A33P35_parsed.csv,18,169,89,95
133,9_S17A9P25_parsed.csv,237,671,460,445
134,2_S17A2P6_parsed.csv,180,475,336,319
135,19_S17A19P10_parsed.csv,76,495,292,277
136,30_S17A30P6_parsed.csv,113,340,223,227
137,38_S17A38P21_parsed.csv,139,336,250,224
138,10_S17A10P3_parsed.csv,60,282,170,171
139,24_S17A24P8_parsed.csv,189,634,402,401
140,17_S17A17P23_parsed.csv,99,415,256,256
141,16_S17A16P26_parsed.csv,308,657,499,461
142,47_S17A47P4_parsed.csv,198,605,375,427
143,49_S17A49P5_parsed.csv,101,224,175,148
144,40_S17A40P17_parsed.csv,18,125,74,69
145,9_S17A9P37_parsed.csv,182,607,365,420
146,49_S17A49P35_parsed.csv,60,229,138,147
147,7_S17A7P21_parsed.csv,232,758,498,489
148,39_S17A39P37_parsed.csv,133,421,258,296
149,18_S17A18P30_parsed.csv,124,643,415,348
150,4_S17A4P11_parsed.csv,99,756,433,422
151,4_S17A4P21_parsed.csv,131,597,364,361
152,15_S17A15P24_parsed.csv,130,643,434,333
153,22_S17A22P21_parsed.csv,178,603,375,406
154,47_S17A47P5_parsed.csv,198,477,311,360
155,9_S17A9P5_parsed.csv,192,639,406,417
156,3_S17A3P9_parsed.csv,415,642,573,476
157,45_S17A45P27_parsed.csv,62,189,111,138
158,15_S17A15P14_parsed.csv,102,473,280,293
159,55_S17A55P21_parsed.csv,88,257,165,174
160,24_S17A24P17_parsed.csv,166,576,356,384
161,19_S17A19P28_parsed.csv,9,57,31,35
162,10_S17A10P19_parsed.csv,117,550,319,340
163,46_S17A46P11_parsed.csv,205,536,357,363
164,3_S17A3P30_parsed.csv,80,414,244,249
165,2_S17A2P66_parsed.csv,56,497,265,285
166,50_S17A50P13_parsed.csv,128,301,216,213
167,50_S17A50P18_parsed.csv,226,372,294,303
168,19_S17A19P24_parsed.csv,111,458,294,266
169,4_S17A4P60_parsed.csv,193,572,386,375
170,21_S17A21P9_parsed.csv,84,282,153,211
171,5_S17A5P6_parsed.csv,67,369,210,226
172,57_S17A57P2_parsed.csv,186,511,338,354
173,43_S17A43P11_parsed.csv,129,284,200,203
174,28_S17A28P8_parsed.csv,179,680,434,413
175,59_S17A59P38_parsed.csv,16,91,55,52
176,59_S17A59P26_parsed.csv,56,201,128,124
177,19_S17A19P8_parsed.csv,149,846,476,510
178,37_S17A37P17_parsed.csv,79,259,165,171
179,58_S17A58P24_parsed.csv,171,306,251,223
180,57_S17A57P12_parsed.csv,264,718,502,469
181,18_S17A18P25_parsed.csv,28,196,102,120
182,6_S17A6P40_parsed.csv,88,148,117,119
183,24_S17A24P11_parsed.csv,176,482,324,334
184,10_S17A10P16_parsed.csv,166,671,437,399
185,45_S17A45P26_parsed.csv,59,262,143,170
186,49_S17A49P26_parsed.csv,132,271,193,209
187,12_S17A12P1_parsed.csv,100,522,318,296
188,27_S17A27P1_parsed.csv,178,509,349,319
189,55_S17A55P11_parsed.csv,117,462,311,268
190,17_S17A17P29_parsed.csv,66,248,160,152
191,38_S17A38P30_parsed.csv,155,431,289,293
192,11_S17A11P33_parsed.csv,53,209,136,123
193,23_S17A23P11_parsed.csv,152,553,357,343
194,51_S17A51P9_parsed.csv,42,101,72,67
