,AC,Women Entropy,Reserved Entropy
0,39,3.6888794541139363,3.6874730529889037
1,31,3.1354942159291497,3.135147767013338
2,30,3.526360524616162,3.5252927251300687
3,35,3.6375861597263857,3.6373092733751635
4,52,3.4965075614664802,3.4959722685402954
5,4_,4.624972813284271,4.622786915581799
6,49,3.850147601710058,3.8476880214176674
7,26,2.772588722239781,2.7720523233513426
8,38,4.077537443905719,4.075217393421026
9,2_,4.29045944114839,4.286725346921435
10,6_,4.127134385045091,4.12109567632542
11,60,4.174387269895637,4.168478778437387
12,40,4.304065093204169,4.2993094273557135
13,24,2.995732273553991,2.995401311324407
14,15,3.1780538303479453,3.1775056584038
15,58,3.4965075614664802,3.4910996616208894
16,50,4.1108738641733105,4.108319321646982
17,1_,3.737669618283368,3.734245764091227
18,32,3.2580965380214826,3.2579372895005156
19,20,3.9318256327243253,3.926327696652166
20,41,3.526360524616162,3.524951021297028
21,37,3.4657359027997265,3.4635319201440344
22,19,3.6375861597263857,3.637144174797031
23,47,2.9444389791664403,2.9424708874237204
24,7_,4.1588830833596715,4.155984198810921
25,42,3.4657359027997265,3.4626972675372865
26,29,2.890371757896165,2.8896184793349518
27,17,3.4339872044851463,3.4320729594171278
28,59,3.828641396489094,3.8258428225581054
29,56,3.295836866004329,3.2926500404206673
30,3_,3.8712010109078907,3.8691477854753704
31,44,3.2188758248682,3.218502896993127
32,22,3.2188758248682,3.2184677524139906
33,53,3.4657359027997265,3.462525611296941
34,45,3.295836866004329,3.2940552107501504
35,5_,3.988984046564275,3.9813593953344193
36,36,3.6888794541139363,3.6885873424223736
37,28,3.401197381662155,3.4003578494615527
38,9_,3.713572066704308,3.7129562735615704
39,12,3.784189633918262,3.7791168463006723
40,46,3.295836866004329,3.2940594817647253
41,13,3.4965075614664802,3.495977295930694
42,55,3.401197381662155,3.400013824077984
43,11,3.6888794541139363,3.687667429895207
44,14,2.995732273553991,2.9948814371555113
45,57,3.4339872044851463,3.42787568380013
46,25,3.2188758248682,3.218107971878611
47,16,3.5553480614894135,3.5527509919606906
48,34,3.5553480614894135,3.5551326857464605
49,43,2.9444389791664403,2.942249056780603
50,21,3.401197381662155,3.400399046291511
51,48,3.091042453358315,3.090338536077193
52,51,3.091042453358315,3.0880031490849755
53,27,2.0794415416798357,2.0791898017115624
54,18,3.7612001156935624,3.7608321252319925
55,54,3.367295829986473,3.363117771774731
56,10,3.2188758248682,3.2178161746323095
57,0_,0.0,0.0
58,23,2.995732273553991,2.995360807351753
59,33,3.610917912644225,3.609842853789175
60,8_,3.401197381662155,3.400254681367504
