,AC,Reserved,General,Female,Male
0,S21A19P19_parsed.csv,53,572,298,313
1,S21A32P40_parsed.csv,6,36,6,32
2,S21A20P1_parsed.csv,66,731,407,358
3,S21A21P18_parsed.csv,28,249,128,147
4,S21A29P2_parsed.csv,56,345,198,197
5,S21A1P17_parsed.csv,141,918,499,541
6,S21A27P6_parsed.csv,166,1161,676,640
7,S21A16P12_parsed.csv,60,670,365,354
8,S21A14P8_parsed.csv,45,600,317,321
9,S21A11P2_parsed.csv,63,675,377,355
10,S21A30P20_parsed.csv,94,756,445,398
11,S21A19P15_parsed.csv,48,497,283,257
12,S21A11P11_parsed.csv,53,364,204,207
13,S21A32P23_parsed.csv,6,40,0,46
14,S21A17P7_parsed.csv,19,266,142,141
15,S21A2P7_parsed.csv,33,634,325,333
16,S21A8P1_parsed.csv,24,550,296,273
17,S21A23P13_parsed.csv,88,783,436,429
18,S21A7P10_parsed.csv,172,791,488,470
19,S21A10P17_parsed.csv,84,1000,519,557
20,S21A25P6_parsed.csv,138,1160,645,642
21,S21A7P19_parsed.csv,186,325,203,303
22,S21A5P14_parsed.csv,41,332,183,184
23,S21A13P11_parsed.csv,57,503,285,267
24,S21A24P3_parsed.csv,85,874,475,473
25,S21A13P1_parsed.csv,69,550,301,314
26,S21A21P15_parsed.csv,29,362,202,183
27,S21A5P17_parsed.csv,121,703,405,414
28,S21A28P5_parsed.csv,68,710,410,365
29,S21A22P17_parsed.csv,59,549,279,320
30,S21A9P12_parsed.csv,35,684,352,361
31,S21A7P17_parsed.csv,132,759,445,443
32,S21A28P2_parsed.csv,54,413,233,224
33,S21A19P21_parsed.csv,37,531,284,279
34,S21A21P4_parsed.csv,13,414,205,216
35,S21A21P7_parsed.csv,43,505,292,253
36,S21A32P43_parsed.csv,37,222,1,256
37,S21A18P1_parsed.csv,80,804,418,451
38,S21A3P22_parsed.csv,113,525,326,307
39,S21A19P3_parsed.csv,33,367,188,201
40,S21A18P3_parsed.csv,112,1057,581,584
41,S21A9P11_parsed.csv,32,631,301,353
42,S21A5P4_parsed.csv,100,867,458,502
43,S21A16P14_parsed.csv,49,479,270,255
44,S21A25P2_parsed.csv,111,1175,645,632
45,S21A14P2_parsed.csv,22,422,220,219
46,S21A20P18_parsed.csv,38,444,249,229
47,S21A17P11_parsed.csv,131,740,446,420
48,S21A17P2_parsed.csv,81,599,339,336
49,S21A17P13_parsed.csv,35,347,208,170
50,S21A9P5_parsed.csv,9,302,148,157
51,S21A29P1_parsed.csv,59,501,267,288
52,S21A15P14_parsed.csv,129,1085,608,591
53,S21A13P14_parsed.csv,88,738,417,401
54,S21A7P1_parsed.csv,151,607,391,361
55,S21A14P3_parsed.csv,18,292,146,152
56,S21A22P18_parsed.csv,137,1177,620,688
57,S21A26P3_parsed.csv,84,818,433,461
58,S21A26P2_parsed.csv,164,1002,547,593
59,S21A15P1_parsed.csv,129,894,489,517
60,S21A8P2_parsed.csv,48,508,289,262
61,S21A31P2_parsed.csv,119,389,251,254
62,S21A32P11_parsed.csv,2,52,0,54
63,S21A21P17_parsed.csv,45,520,280,278
64,S21A20P2_parsed.csv,97,835,432,467
65,S21A18P5_parsed.csv,37,493,267,259
66,S21A32P3_parsed.csv,1,8,0,9
67,S21A30P7_parsed.csv,31,270,148,149
68,S21A1P14_parsed.csv,53,235,121,165
69,S21A30P18_parsed.csv,217,271,259,223
70,S21A11P1_parsed.csv,99,606,381,322
71,S21A18P12_parsed.csv,70,521,272,314
72,S21A11P9_parsed.csv,17,304,165,155
73,S21A20P8_parsed.csv,64,795,444,406
74,S21A29P19_parsed.csv,55,620,342,330
75,S21A9P1_parsed.csv,103,551,315,331
76,S21A24P15_parsed.csv,39,416,225,224
77,S21A19P26_parsed.csv,58,759,427,377
78,S21A17P12_parsed.csv,98,557,313,334
79,S21A9P6_parsed.csv,24,520,263,278
80,S21A4P10_parsed.csv,76,953,498,526
81,S21A28P6_parsed.csv,33,456,256,227
82,S21A18P13_parsed.csv,49,410,229,224
83,S21A23P7_parsed.csv,149,1051,575,610
84,S21A15P8_parsed.csv,24,482,239,264
85,S21A11P14_parsed.csv,39,429,222,239
86,S21A20P3_parsed.csv,31,380,201,203
87,S21A15P12_parsed.csv,262,865,578,540
88,S21A27P8_parsed.csv,87,740,408,412
89,S21A10P18_parsed.csv,56,442,246,250
90,S21A17P16_parsed.csv,127,694,385,430
91,S21A10P21_parsed.csv,43,356,187,210
92,S21A5P3_parsed.csv,121,986,547,551
93,S21A10P12_parsed.csv,41,645,341,327
94,S21A19P13_parsed.csv,84,887,491,474
95,S21A10P4_parsed.csv,93,774,434,428
96,S21A3P3_parsed.csv,128,896,504,514
97,S21A13P19_parsed.csv,127,769,433,458
98,S21A12P2_parsed.csv,36,607,327,312
99,S21A7P9_parsed.csv,71,657,337,376
100,S21A14P14_parsed.csv,74,608,345,332
101,S21A10P9_parsed.csv,12,433,225,214
102,S21A1P16_parsed.csv,104,672,351,402
103,S21A18P11_parsed.csv,67,591,310,344
104,S21A14P18_parsed.csv,21,340,177,178
105,S21A10P5_parsed.csv,66,608,307,349
106,S21A8P8_parsed.csv,138,840,427,546
107,S21A1P13_parsed.csv,145,308,210,238
108,S21A14P15_parsed.csv,108,587,340,348
109,S21A32P35_parsed.csv,3,36,0,38
110,S21A31P1_parsed.csv,152,427,304,267
111,S21A19P16_parsed.csv,92,545,303,326
112,S21A24P2_parsed.csv,59,736,385,401
113,S21A10P7_parsed.csv,65,753,386,426
