,AC,Women Entropy,Reserved Entropy
0,S21A12,2.890371757896165,2.889496497687954
1,S21A7P,2.890371757896165,2.8867364657023664
2,S21A17,2.890371757896165,2.889432065622983
3,S21A24,3.091042453358315,3.090812993862625
4,S21A26,2.3978952727983707,2.397618844413649
5,S21A18,2.833213344056216,2.8327800648304646
6,S21A30,2.995732273553991,2.985633353000014
7,S21A9P,3.091042453358315,3.0873971729757845
8,S21A28,2.833213344056216,2.8326166027193365
9,S21A23,2.890371757896165,2.8902220909179275
10,S21A20,3.2188758248682,3.218121344715509
11,S21A32,3.091042453358315,3.844982571286245
12,S21A27,2.484906649788001,2.4847783190176305
13,S21A13,3.091042453358315,3.089213800416053
14,S21A21,2.995732273553991,2.9946315448541894
15,S21A10,3.091042453358315,3.090487792019577
16,S21A8P,2.484906649788001,2.4845120535945813
17,S21A22,2.890371757896165,2.8900463763431827
18,S21A14,3.044522437723422,3.043396321761003
19,S21A16,3.091042453358315,3.0904425365590202
20,S21A6P,2.9444389791664403,2.9410909537417136
21,S21A1P,2.9444389791664403,2.94125168937574
22,S21A4P,2.772588722239781,2.7709268800387887
23,S21A5P,2.833213344056216,2.8311863952040706
24,S21A25,2.0794415416798357,2.079316666990088
25,S21A29,2.9444389791664403,2.9440202918111757
26,S21A19,3.295836866004329,3.2953129919278035
27,S21A15,2.639057329615258,2.6372717738702005
28,S21A3P,3.091042453358315,3.087383725818232
29,S21A2P,2.833213344056216,2.827823217922718
30,S21A31,2.3978952727983707,2.3959581947168513
31,S21A11,2.9444389791664403,2.9437607127061014
