State,SexRatio,Reserved
Andaman and Nicobar Islands,876,67.74
Andhra Pradesh,993,79
Arunachal Pradesh,938,77
Assam,958,46
Bihar,918,85
Chandigarh,818,67.74
Chattisgarh,991,92
Dadra and Nagar Haveli,774,67.74
Daman and Diu,618,67.74
Delhi,868,67.74
Goa,973,67.74
Gujarat,919,71
Haryana,879,53
Himachal Pradesh,972,45
Jammu and Kashmir,889,30
Jharkhand,948,89
Karnataka,973,88
Kerala,1084,79
Lakshadweep Islands,947,67.74
Madhya Pradesh,931,85
Maharashtra,929,57
Manipur,992,67.74
Meghalaya,989,67.74
Mizoram,976,67.74
Nagaland,931,67.74
Odisha,979,85
Pondicherry,1037,67.74
Punjab,895,51
Rajasthan,928,85
Sikkim,890,67.74
Tamil Nadu,996,96
Tripura,988,67.74
Uttar Pradesh,912,88
Uttarakhand,963,55
West Bengal,950,45
Telangana,993,77
